,name,mana_cost,cmc,edhrec_rank
2992,Rotten Reunion,{B},1.0,8571.0
2993,Reveillark,{4}{W},5.0,977.0
2994,Final Death,{4}{B},5.0,13756.0
2995,Jaya's Greeting,{1}{R},2.0,12133.0
2996,Shrivel,{1}{B},2.0,18909.0
2997,Sporemound,{3}{G}{G},5.0,2337.0
2998,Dormant Grove // Gnarled Grovestrider,,4.0,6908.0
2999,Psychogenic Probe,{2},2.0,15893.0
3000,Dread Linnorm // Scale Deflection,{6}{G} // {3}{G},7.0,7773.0
3001,Feral Abomination,{5}{B},6.0,17766.0
3002,"Kethis, the Hidden Hand",{W}{B}{G},3.0,3241.0
3003,Nalia de'Arnise,{1}{W}{B},3.0,5783.0
3004,Guardian of the Ages,{7},7.0,14839.0
3005,Floodchaser,{5}{U},6.0,21280.0
3006,Psychotic Fury,{1}{R},2.0,3850.0
3007,Geistcatcher's Rig,{6},6.0,22843.0
3008,Harmonic Sliver,{1}{G}{W},3.0,2952.0
3009,Melt Terrain,{2}{R}{R},4.0,18363.0
3010,Mana Cache,{1}{R}{R},3.0,11936.0
3011,Field Marshal,{1}{W}{W},3.0,8882.0
3012,Pull from the Deep,{2}{U}{U},4.0,8036.0
3013,Pentavus,{7},7.0,7582.0
3014,Blight Pile,{1}{B},2.0,18682.0
3015,Highborn Ghoul,{B}{B},2.0,17159.0
3016,Runed Stalactite,{1},1.0,9113.0
3017,Persecute Artist,{1}{B}{B},3.0,
3018,Jaheira's Respite,{4}{G},5.0,5455.0
3019,Mogg Alarm,{1}{R}{R},3.0,11537.0
3020,Lunk Errant,{5}{R},6.0,22508.0
3021,"Mavinda, Students' Advocate",{2}{W},3.0,5402.0
3022,Reckless Amplimancer,{1}{G},2.0,16703.0
3023,Voyage's End,{1}{U},2.0,11291.0
3024,Midnight Scavengers,{4}{B},5.0,13295.0
3025,Discover the Impossible,{2}{U},3.0,10620.0
3026,Scab-Clan Giant,{4}{R}{G},6.0,19642.0
3027,Dusk Urchins,{2}{B},3.0,8047.0
3028,Asphyxiate,{1}{B}{B},3.0,14499.0
3029,Virtus's Maneuver,{2}{B},3.0,5208.0
3030,"Gale, Abyssal Conduit",{3}{U}{B},5.0,
3031,Vithian Stinger,{2}{R},3.0,9512.0
3032,Dawn Gryff,{2}{W},3.0,23119.0
3033,Mark of Fury,{R},1.0,9741.0
3034,Due Respect,{1}{W},2.0,16413.0
3035,Primordial Hydra,{X}{G}{G},2.0,2850.0
3036,Forerunner of Slaughter,{B}{R},2.0,10727.0
3037,Halberdier,{3}{R},4.0,22155.0
3038,Psionic Ritual,{4}{U}{U},6.0,6286.0
3039,Mystic Redaction // Mystic Redaction,,0.0,
3040,Kingpin's Pet,{1}{W}{B},3.0,11064.0
3041,Armor of Faith,{W},1.0,18494.0
3042,Riveteers Decoy,{1}{G},2.0,15847.0
3043,Skycloud Egg,{1},1.0,12053.0
3044,Melesse Spirit,{3}{W}{W},5.0,20343.0
3045,Conduit of Storms // Conduit of Emrakul,,3.0,9996.0
3046,Velis Vel,,0.0,
3047,Brindle Boar,{2}{G},3.0,17554.0
3048,Sadistic Obsession,{3}{B},4.0,13834.0
3049,Price of Knowledge,{6}{B},7.0,7510.0
3050,Journey of Discovery,{2}{G},3.0,6002.0
3051,Dromoka Monument,{3},3.0,13921.0
3052,Brightclimb Pathway // Grimclimb Pathway,,0.0,23618.0
3053,Wanted Scoundrels,{1}{B},2.0,15261.0
3054,Shield of Duty and Reason,{W},1.0,6912.0
3055,Dwarf,,0.0,
3056,Necropolis of Azar,{2}{B}{B},4.0,
3057,Lost Soul,{1}{B}{B},3.0,20067.0
3058,Unquenchable Fury,{2}{R},3.0,5544.0
3059,Amber Prison,{4},4.0,17858.0
3060,Laboratory Drudge,{3}{U},4.0,10028.0
3061,Marut // Marut,,0.0,
3062,Hydra,,0.0,
3063,Kjeldoran Escort,{2}{W}{W},4.0,18779.0
3064,"Numot, the Devastator",{3}{U}{R}{W},6.0,9672.0
3065,Rhystic Tutor,{2}{B},3.0,10115.0
3066,Nemesis Trap,{4}{B}{B},6.0,18104.0
3067,"Mari, the Killing Quill // Mari, the Killing Quill",,0.0,
3068,Abrupt Decay,{B}{G},2.0,453.0
3069,Territorial Hellkite,{2}{R}{R},4.0,5557.0
3070,Make Your Mark,{R/W},1.0,10740.0
3071,Seagraf Skaab,{1}{U},2.0,21045.0
3072,Ray of Distortion,{3}{W},4.0,11874.0
3073,Circle of Dreams Druid,{G}{G}{G},3.0,732.0
3074,Forced Adaptation,{G},1.0,6104.0
3075,Monastery Loremaster,{3}{U},4.0,15923.0
3076,"Chandra, Torch of Defiance Emblem",,0.0,
3077,Sphinx of the Steel Wind,{5}{W}{U}{B},8.0,8085.0
3078,Charging Griffin,{3}{W},4.0,17281.0
3079,Ostiary Thrull,{3}{B},4.0,22362.0
3080,Sphinx of Magosi,{3}{U}{U}{U},6.0,8438.0
3081,Teferi's Ageless Insight,{2}{U}{U},4.0,445.0
3082,"Donal, Herald of Wings",{2}{U}{U},4.0,5052.0
3083,Long Rest // Long Rest,,0.0,
3084,Accumulated Knowledge,{1}{U},2.0,20235.0
3085,Owlbear Shepherd // Owlbear Shepherd,,0.0,
3086,Ghastly Discovery,{2}{U},3.0,18550.0
3087,Argivian Phalanx,{5}{W},6.0,18544.0
3088,"Lukka, Coppercoat Outcast",{3}{R}{R},5.0,5624.0
3089,Dreamtail Heron,{4}{U},5.0,3144.0
3090,Thrill of Possibility,{1}{R},2.0,176.0
3091,Enatu Golem,{6},6.0,19986.0
3092,Myojin of Towering Might,{5}{G}{G}{G},8.0,7955.0
3093,Trueheart Duelist,,0.0,
3094,Izzet Boilerworks,,0.0,282.0
3095,Jawbone Skulkin,{1},1.0,9487.0
3096,Sojourner's Companion,{7},7.0,8101.0
3097,Wicked Akuba,{B}{B},2.0,17236.0
3098,Karn,,0.0,
3099,Sanctum of Calm Waters,{3}{U},4.0,2389.0
3100,Searing Touch,{R},1.0,10767.0
3101,Trailblazer's Torch,{4},4.0,10007.0
3102,"Chandra, Bold Pyromancer",{4}{R}{R},6.0,8469.0
3103,Silent Arbiter,{4},4.0,1000.0
3104,Bloodstone Cameo,{3},3.0,15857.0
3105,Veteran Dungeoneer,{3}{W},4.0,9589.0
3106,Giant Slug,{1}{B},2.0,20889.0
3107,Lose Focus,{1}{U},2.0,6467.0
3108,Grand Coliseum,,0.0,3881.0
3109,"Baru, Wurmspeaker",{2}{G}{G},4.0,11428.0
3110,Descendant of Soramaro,{3}{U},4.0,14126.0
3111,Golgari Signet,{2},2.0,366.0
3112,Ruin Processor,{7},7.0,11230.0
3113,Baleful Ammit,{2}{B},3.0,12258.0
3114,"Erebos, God of the Dead",{3}{B},4.0,1260.0
3115,Urza's Avenger,{6},6.0,20086.0
3116,A-Mentor's Guidance,{1}{U},2.0,
3117,Vengeance,{3}{W},4.0,21672.0
3118,Blue Dragon,{5}{U}{U},7.0,8979.0
3119,Rope Line Attendant,{G}{W},2.0,
3120,A-Shattered Seraph,{4}{W}{U}{B},7.0,
3121,Preferred Selection,{2}{G}{G},4.0,18745.0
3122,Hellkite Overlord,{4}{B}{R}{R}{G},8.0,9244.0
3123,"Baird, Argivian Recruiter",{R}{W},2.0,11392.0
3124,Vodalian Arcanist,{1}{U},2.0,9419.0
3125,Tymaret Calls the Dead,{2}{B},3.0,8196.0
3126,Sentinel Sliver,{1}{W},2.0,3607.0
3127,Illusionist's Bracers,{2},2.0,1086.0
3128,"Birgi, God of Storytelling // Birgi, God of Storytelling",,0.0,
3129,Standard Procedure,,0.0,23788.0
3130,Elvish Aberration,{5}{G},6.0,7954.0
3131,Rootwater Matriarch,{2}{U}{U},4.0,15225.0
3132,Quag Vampires,{B},1.0,10788.0
3133,Treacherous Vampire,{4}{B},5.0,23738.0
3134,Dread Cacodemon,{7}{B}{B}{B},10.0,7649.0
3135,Sarkhan Unbroken,{2}{G}{U}{R},5.0,3375.0
3136,Deathforge Shaman,{4}{R},5.0,14576.0
3137,Warriors' Lesson,{G},1.0,10350.0
3138,Certain Death,{5}{B},6.0,17813.0
3139,Tzaangor Shaman,{2}{U}{R},4.0,13552.0
3140,Fervent Paincaster,{2}{R},3.0,17491.0
3141,Rabble-Rouser,{3}{R},4.0,18301.0
3142,Wall of Pine Needles,{3}{G},4.0,20826.0
3143,Pouncing Cheetah,{2}{G},3.0,17251.0
3144,Viridian Betrayers,{1}{G}{G},3.0,11770.0
3145,Fanning the Flames,{X}{R}{R},2.0,9997.0
3146,Dragonfly Pilot,{W},1.0,
3147,"Ajani, Caller of the Pride",{1}{W}{W},3.0,5505.0
3148,Memory Theft,{2}{B},3.0,18085.0
3149,Canopy Gorger,{4}{G}{G},6.0,18238.0
3150,Bogardan Firefiend,{2}{R},3.0,21060.0
3151,Gitaxian Probe,{U/P},1.0,271.0
3152,Murasa Pyromancer,{4}{R}{R},6.0,10921.0
3153,Clockwork Steed,{4},4.0,20204.0
3154,Vedalken Infiltrator,{1}{U},2.0,11023.0
3155,Standard Bearer,{1}{W},2.0,15294.0
3156,Marsh Crocodile,{2}{U}{B},4.0,20573.0
3157,"Vogar, Necropolis Tyrant",{3}{B}{B},5.0,17390.0
3158,Koma's Faithful,{2}{B},3.0,10681.0
3159,"Selvala, Heart of the Wilds",{1}{G}{G},3.0,756.0
3160,Spirit // Spirit,,0.0,
3161,Traveling Minister,{W},1.0,14198.0
3162,Arbalest Elite,{2}{W}{W},4.0,17237.0
3163,Temporal Spring,{1}{G}{U},3.0,9267.0
3164,Greenhilt Trainee,{3}{G},4.0,22217.0
3165,Munda's Vanguard,{4}{W},5.0,13206.0
3166,Viashino Sandswimmer,{2}{R}{R},4.0,17673.0
3167,Mage-Ring Responder,{7},7.0,13627.0
3168,Second Wind,{2}{U},3.0,12827.0
3169,Old Stickfingers,{X}{B}{G},2.0,2688.0
3170,Magister Sphinx,{4}{W}{U}{B},7.0,5242.0
3171,Immortal Phoenix,{4}{R}{R},6.0,10689.0
3172,Robaran Mercenaries,{3}{W},4.0,16852.0
3173,Mind Rake,{2}{B},3.0,4788.0
3174,Colossal Might,{R}{G},2.0,12669.0
3175,Bonescythe Sliver,{3}{W},4.0,3837.0
3176,A-Blood Artist,{1}{B},2.0,
3177,Talisman of Indulgence,{2},2.0,195.0
3178,Raiding Party,{2}{R},3.0,23525.0
3179,Shenanigans,{1}{R},2.0,4650.0
3180,Ravenous Baboons,{3}{R},4.0,15682.0
3181,Umezawa's Jitte,{2},2.0,2213.0
3182,Windcaller Aven,{4}{U}{U},6.0,10359.0
3183,Genju of the Realm,{W}{U}{B}{R}{G},5.0,11935.0
3184,Izzet Chronarch,{3}{U}{R},5.0,8894.0
3185,Decoction Module,{2},2.0,9294.0
3186,Vertigo,{R},1.0,23587.0
3187,"Tivit, Seller of Secrets // Tivit, Seller of Secrets",,0.0,
3188,Zealous Conscripts,{4}{R},5.0,1266.0
3189,Purify the Grave,{W},1.0,11031.0
3190,Drider,{4}{B},5.0,9892.0
3191,Kitsune Ace,{1}{W},2.0,7571.0
3192,"Icingdeath, Frost Tyrant",{2}{W}{W},4.0,6322.0
3193,Undertow,{2}{U},3.0,23690.0
3194,Blight Keeper,{B},1.0,16428.0
3195,Command the Storm,{4}{R},5.0,18120.0
3196,Winter Orb,{2},2.0,1522.0
3197,Sandsower,{3}{W},4.0,20038.0
3198,Disinformation Campaign,{1}{U}{B},3.0,9946.0
3199,Defend the Hearth,{1}{G},2.0,12040.0
3200,Raging Gorilla,{2}{R},3.0,19434.0
3201,Earth Tremor,{3}{R},4.0,14937.0
3202,Managorger Phoenix,{R}{R},2.0,
3203,Scald,{1}{R},2.0,17669.0
3204,Thassa's Oracle,{U}{U},2.0,232.0
3205,Bright Reprisal,{4}{W},5.0,17588.0
3206,Bazaar Krovod,{4}{W},5.0,20918.0
3207,Uncontrolled Infestation,{1}{R},2.0,19445.0
3208,Proven Combatant,,0.0,
3209,Raven Guild Master,{1}{U}{U},3.0,11565.0
3210,Nim Shrieker,{3}{B},4.0,18904.0
3211,"A-Teferi, Time Raveler",{2}{W}{U},4.0,
3212,Scourge of Geier Reach,{3}{R}{R},5.0,16706.0
3213,Alaundo the Seer,{2}{G}{U},4.0,10083.0
3214,Thirst for Discovery,{2}{U},3.0,2786.0
3215,Rundvelt Hordemaster,{1}{R},2.0,9156.0
3216,Good-Fortune Unicorn,{1}{G}{W},3.0,2558.0
3217,Jade Monolith,{4},4.0,10362.0
3218,Cho-Arrim Alchemist,{W},1.0,18658.0
3219,Heart of Bogardan,{2}{R}{R},4.0,21597.0
3220,Vampiric Fury,{1}{R},2.0,14317.0
3221,Whip Sergeant,{2}{R},3.0,22483.0
3222,Rakdos Augermage,{B}{B}{R},3.0,18435.0
3223,Aeromoeba,{3}{U},4.0,19250.0
3224,"Wilson, Bear Comrade",{1}{G},2.0,
3225,Stronghold Biologist,{2}{U},3.0,15989.0
3226,"Sigarda, Champion of Light // Sigarda, Champion of Light",,0.0,
3227,Aether Burst,{1}{U},2.0,22769.0
3228,Arcane Bombardment,{4}{R}{R},6.0,3147.0
3229,Elkin Bottle,{3},3.0,20566.0
3230,Roll for Initiative // Roll for Initiative (cont'd),,0.0,
3231,Lim-Dûl's Cohort,{1}{B}{B},3.0,23029.0
3232,"Taranika, Akroan Veteran",{1}{W}{W},3.0,7866.0
3233,Wall of Earth,{1}{R},2.0,18488.0
3234,Tactical Advantage,{W},1.0,
3235,Asmodeus the Archfiend,{4}{B}{B},6.0,4044.0
3236,Moon Sprite,{1}{G},2.0,21560.0
3237,Cave of the Frost Dragon,,0.0,4143.0
3238,Heartfire Immolator,{1}{R},2.0,11893.0
3239,Contractual Safeguard // Contractual Safeguard,,0.0,
3240,Break Ties,{2}{W},3.0,8846.0
3241,Burning Prophet,{1}{R},2.0,6141.0
3242,Soul Transfer,{1}{B}{B},3.0,7213.0
3243,Lightning Berserker,{R},1.0,14549.0
3244,Viashino Shanktail,{3}{R},4.0,18797.0
3245,Lightning Diadem,{5}{R},6.0,21036.0
3246,Make Yourself Useful,,0.0,
3247,Cobalt Golem,{4},4.0,22835.0
3248,Douser of Lights,{4}{B},5.0,20690.0
3249,Devout Chaplain,{2}{W},3.0,4115.0
3250,Sanctum Spirit,{3}{W},4.0,20037.0
3251,Xathrid Gorgon,{5}{B},6.0,11996.0
3252,Creakwood Liege,{1}{B/G}{B/G}{B/G},4.0,3899.0
3253,Steam Vines,{1}{R}{R},3.0,19549.0
3254,Snakeskin Veil,{G},1.0,1009.0
3255,Daring Buccaneer,{R},1.0,12290.0
3256,Gutter Skulk,{1}{B},2.0,16579.0
3257,Blessings of Nature,{4}{G},5.0,11349.0
3258,Dokuchi Shadow-Walker,{4}{B}{B},6.0,11751.0
3259,Labyrinth Minotaur,{3}{U},4.0,22460.0
3260,Mire's Malice,{3}{B},4.0,20379.0
3261,Vow of Duty,{2}{W},3.0,5280.0
3262,Elderscale Wurm,{4}{G}{G}{G},7.0,8334.0
3263,"Mu Yanling, Sky Dancer",{1}{U}{U},3.0,8181.0
3264,Dragon Grip,{2}{R},3.0,16782.0
3265,Murmurs from Beyond,{2}{U},3.0,15291.0
3266,"Mathas, Fiend Seeker",{R}{W}{B},3.0,5496.0
3267,Greater Harvester,{2}{B}{B}{B},5.0,10399.0
3268,Induce Despair,{2}{B},3.0,19199.0
3269,Drizzt Do'Urden,{3}{G}{W},5.0,6646.0
3270,Intruder Alarm,{2}{U},3.0,2005.0
3271,Slaying Fire,{2}{R},3.0,11687.0
3272,Magma Opus // Magma Opus,,0.0,
3273,"Prosper, Tome-Bound",{2}{B}{R},4.0,1497.0
3274,Raiders' Karve,{3},3.0,3922.0
3275,Open the Vaults,{4}{W}{W},6.0,1485.0
3276,Skyhunter Cub,{2}{W},3.0,17216.0
3277,Rathi Assassin,{2}{B}{B},4.0,15412.0
3278,Biting Tether,{4}{U},5.0,17941.0
3279,The Lady of Otaria,{3}{R}{G},5.0,19366.0
3280,Servant of Tymaret,{2}{B},3.0,10821.0
3281,Writ of Passage,{U},1.0,14249.0
3282,Alex Borteh Decklist,,0.0,
3283,Kin-Tree Warden,{G},1.0,15467.0
3284,Crowd Favorites,{6}{W},7.0,23385.0
3285,District Guide,{2}{G},3.0,4746.0
3286,Luxa River Shrine,{3},3.0,15310.0
3287,Phyrexian Monitor,{3}{B},4.0,19733.0
3288,Petals of Insight,{4}{U},5.0,15390.0
3289,Veteran Cathar,{1}{G},2.0,18758.0
3290,Gleaming Barrier,{2},2.0,6034.0
3291,"King Macar, the Gold-Cursed",{2}{B}{B},4.0,4973.0
3292,Binding Grasp,{3}{U},4.0,18762.0
3293,Chain Stasis,{U},1.0,13919.0
3294,Oath of Ajani,{G}{W},2.0,4825.0
3295,Prakhata Pillar-Bug,{3},3.0,19025.0
3296,Dreamstalker Manticore,{2}{R},3.0,18401.0
3297,Bar the Door,{2}{W},3.0,5956.0
3298,"""Yard Sale""",{3}{B},4.0,
3299,Well of Ideas,{5}{U},6.0,3911.0
3300,Brutal Cathar // Moonrage Brute,,3.0,9599.0
3301,Godhead of Awe,{W/U}{W/U}{W/U}{W/U}{W/U},5.0,12724.0
3302,Vectis Dominator,{1}{W}{B},3.0,21532.0
3303,Talas Researcher,{4}{U},5.0,21858.0
3304,Piper's Melody,{G},1.0,15209.0
3305,Ardent Elementalist,{3}{R},4.0,3813.0
3306,Cyclopean Tomb,{4},4.0,20470.0
3307,Emrakul's Hatcher,{4}{R},5.0,5210.0
3308,Graveshifter,{3}{B},4.0,2681.0
3309,Shoving Match,{2}{U},3.0,20453.0
3310,"Rienne, Angel of Rebirth",{2}{R}{G}{W},5.0,6420.0
3311,Trazyn the Infinite,{4}{B}{B},6.0,9772.0
3312,Tel-Jilad Lifebreather,{4}{G},5.0,21575.0
3313,Border Guard,{2}{W},3.0,22438.0
3314,Soul Sear,{2}{R},3.0,9165.0
3315,Gnarled Scarhide,{B},1.0,11274.0
3316,"Kiora, Behemoth Beckoner",{2}{G/U},3.0,1739.0
3317,Spike Tiller,{3}{G}{G},5.0,19274.0
3318,"Brinelin, the Moon Kraken",{6}{U}{U},8.0,3952.0
3319,Enchanter's Bane,{1}{R},2.0,9397.0
3320,Warrior's Stand,{1}{W},2.0,23165.0
3321,Hunter's Ambush,{2}{G},3.0,15303.0
3322,Ceta Disciple,{U},1.0,23320.0
3323,Mirror Match,{4}{U}{U},6.0,10427.0
3324,Chaotic Strike,{1}{R},2.0,9340.0
3325,Man of Measure,{1}{W}{W},3.0,
3326,Ferrovore,{2}{R},3.0,22725.0
3327,Relic Seeker,{1}{W},2.0,3207.0
3328,Old-Fashioned Vampire,{3}{B}{B},5.0,
3329,Banish into Fable,{4}{W}{U},6.0,12674.0
3330,Sleeper Dart,{2},2.0,8429.0
3331,Selkie Hedge-Mage,{2}{G/U},3.0,18215.0
3332,"Sorin, Solemn Visitor",{2}{W}{B},4.0,6407.0
3333,Nest of Scarabs,{2}{B},3.0,3363.0
3334,Uchuulon,{3}{B},4.0,5107.0
3335,When We Were Young,{3}{W},4.0,15898.0
3336,Deepcavern Imp,{2}{B},3.0,19486.0
3337,"Slobad, Goblin Tinkerer",{1}{R},2.0,5370.0
3338,Obscura Confluence,{1}{W}{U}{B},4.0,8300.0
3339,Ember Shot,{6}{R},7.0,22354.0
3340,Essence Sliver,{3}{W},4.0,6076.0
3341,Rotting Rats,{1}{B},2.0,5249.0
3342,Pyroclastic Elemental,{3}{R}{R},5.0,20542.0
3343,Reckless Pangolin,{2}{G},3.0,23409.0
3344,Ninja of the Deep Hours,{3}{U},4.0,2253.0
3345,Grand Master of Flowers,{2}{W}{W},4.0,9626.0
3346,Avenging Druid,{2}{G},3.0,14729.0
3347,"Rigo, Streetwise Mentor",{G/W}{W}{W/U},3.0,8559.0
3348,Opposition Agent,{2}{B},3.0,191.0
3349,Living Lightning,{3}{R},4.0,11794.0
3350,Bloodspore Thrinax,{2}{G}{G},4.0,4641.0
3351,Monk Idealist,{2}{W},3.0,7089.0
3352,Soothing Balm,{1}{W},2.0,21962.0
3353,Temple Altisaur,{4}{W},5.0,3535.0
3354,Elemental Resonance,{2}{G}{G},4.0,11910.0
3355,Needle Storm,{2}{G},3.0,22114.0
3356,Unified Front,{3}{W},4.0,12915.0
3357,Valorous Charge,{1}{W}{W},3.0,23643.0
3358,Opportunity,{4}{U}{U},6.0,8238.0
3359,Yixlid Jailer,{1}{B},2.0,16409.0
3360,Demonic Bargain // Demonic Bargain,,0.0,
3361,Strangle,{R},1.0,11916.0
3362,Wandering Stream,{2}{G},3.0,21813.0
3363,Rock Badger,{4}{R},5.0,23576.0
3364,Nocturno of Myra's Marvels,{2}{B}{B},4.0,24003.0
3365,Soldevi Sage,{1}{U},2.0,19273.0
3366,Pollen Lullaby,{1}{W},2.0,14709.0
3367,Patrician Geist,{2}{U},3.0,5446.0
3368,Orc General,{2}{R},3.0,21608.0
3369,Mercurial Geists,{2}{U}{R},4.0,16763.0
3370,Grove of the Burnwillows // Grove of the Burnwillows,,0.0,
3371,Cavalry Pegasus,{1}{W},2.0,7085.0
3372,Ignite the Beacon,{4}{W},5.0,6092.0
3373,Asmoranomardicadaistinaculdacar,,0.0,7676.0
3374,Hunted Troll,{2}{G}{G},4.0,5539.0
3375,Bioessence Hydra,{3}{G}{U},5.0,9107.0
3376,Hedron Fields of Agadeem,,0.0,
3377,Noise Marine,{4}{R},5.0,12260.0
3378,Famine,{3}{B}{B},5.0,17908.0
3379,Saprazzan Bailiff,{3}{U}{U},5.0,20146.0
3380,"Olivia, Mobilized for War",{1}{B}{R},3.0,5603.0
3381,Grand Arbiter Augustin IV,{2}{W}{U},4.0,2138.0
3382,Metallic Mimic,{2},2.0,1089.0
3383,Valorous Stance,{1}{W},2.0,2226.0
3384,Inspiring Unicorn,{2}{W}{W},4.0,12737.0
3385,Hypnotic Sprite // Mesmeric Glare,{U}{U} // {2}{U},2.0,6283.0
3386,Keeper of Keys,{3}{U}{U},5.0,6271.0
3387,"Yedora, Grave Gardener",{4}{G},5.0,3815.0
3388,Harsh Judgment,{2}{W}{W},4.0,21329.0
3389,Marisi's Twinclaws,{2}{R/W}{G},4.0,15653.0
3390,Oak Street Innkeeper,{2}{G},3.0,9799.0
3391,Havengul Lich,{3}{U}{B},5.0,2840.0
3392,"Maga, Traitor to Mortals",{X}{B}{B}{B},3.0,11699.0
3393,Silumgar's Scorn,{U}{U},2.0,9724.0
3394,Resplendent Marshal,{1}{W}{W},3.0,6320.0
3395,Wardscale Dragon,{4}{W}{W},6.0,12692.0
3396,Extractor Demon,{4}{B}{B},6.0,9514.0
3397,Protective Bubble,{3}{U},4.0,10818.0
3398,Fell the Mighty,{4}{W},5.0,1878.0
3399,Krosan Druid,{2}{G},3.0,13944.0
3400,Grovetender Druids,{2}{G}{W},4.0,18210.0
3401,Break Open,{1}{R},2.0,22248.0
3402,Vengeful Vampire,{4}{B}{B},6.0,18521.0
3403,Spellweaver Duo,{6}{U},7.0,21345.0
3404,Bottled Cloister,{4},4.0,13367.0
3405,Windbrisk Raptor,{5}{W}{W},7.0,11503.0
3406,Douse in Gloom,{2}{B},3.0,19289.0
3407,Hunted Witness,{W},1.0,4730.0
3408,Dismal Failure,{2}{U}{U},4.0,17884.0
3409,Replicating Ring,{3},3.0,990.0
3410,Scavenging Ooze,{1}{G},2.0,531.0
3411,Hold the Line,{1}{W}{W},3.0,12143.0
3412,Greed,{3}{B},4.0,921.0
3413,A-Alrund's Epiphany,{5}{U}{U},7.0,
3414,Butcher of the Horde,{1}{R}{W}{B},4.0,13273.0
3415,Lexivore,{3}{W},4.0,
3416,"Thryx, the Sudden Storm",{3}{U}{U},5.0,1818.0
3417,Hour of Need,{2}{U},3.0,14938.0
3418,Aerialephant,{3}{W},4.0,22945.0
3419,Cobbled Lancer,{U},1.0,16769.0
3420,Tuktuk Grunts,{4}{R},5.0,18943.0
3421,Aggravated Assault,{2}{R},3.0,1474.0
3422,Alms of the Vein,{2}{B},3.0,7736.0
3423,Glittering Frost,{2}{G},3.0,5878.0
3424,Mass Production,{5}{W},6.0,
3425,Shatterskull Minotaur,{4}{R}{R},6.0,16290.0
3426,In Bolas's Clutches,{4}{U}{U},6.0,6894.0
3427,Lacerate Flesh,{4}{R},5.0,14425.0
3428,Sword of the Ages,{6},6.0,18580.0
3429,A-Moss-Pit Skeleton,{B}{G},2.0,
3430,Breeding Pool,,0.0,69.0
3431,Cackling Fiend,{2}{B}{B},4.0,16768.0
3432,Fight with Fire,{2}{R},3.0,11927.0
3433,Canyon Slough,,0.0,1206.0
3434,Calciform Pools,,0.0,6608.0
3435,Headless Skaab,{2}{U},3.0,18950.0
3436,Wirewood Hivemaster,{1}{G},2.0,12606.0
3437,Elves of Deep Shadow,{G},1.0,353.0
3438,Sorcerous Sight,{U},1.0,12613.0
3439,Invoke the Firemind,{X}{U}{U}{R},3.0,8107.0
3440,Protective Sphere,{2}{W},3.0,17027.0
3441,Feat of Resistance,{1}{W},2.0,6303.0
3442,Disappearing Act,{1}{U}{U},3.0,11228.0
3443,Ineffable Blessing,{1}{G},2.0,
3444,Homestead Courage,{W},1.0,12171.0
3445,Inquisitor Captain,{3}{W},4.0,
3446,"Teferi, Who Slows the Sunset // Teferi, Who Slows the Sunset",,0.0,
3447,Rakdos Trumpeter,{1}{B},2.0,21157.0
3448,Lightmine Field,{2}{W}{W},4.0,7288.0
3449,Gavel of the Righteous,{2},2.0,8111.0
3450,Elixir of Immortality,{1},1.0,659.0
3451,Overrun,{2}{G}{G}{G},5.0,1579.0
3452,Rummaging Goblin,{2}{R},3.0,6090.0
3453,"Momir Vig, Simic Visionary Avatar",,0.0,
3454,Mons's Goblin Waiters,{R},1.0,
3455,Mandate of Abaddon,{3}{B},4.0,10247.0
3456,Tamiyo's Journal,{5},5.0,1783.0
3457,Garbage Elemental,{4}{R},5.0,
3458,Fires of Undeath,{2}{R},3.0,22726.0
3459,Eater of Days,{4},4.0,7154.0
3460,Active Volcano,{R},1.0,14467.0
3461,Mourning,{1}{B},2.0,16081.0
3462,Tajuru Snarecaster,{2}{G},3.0,16943.0
3463,"Ashaya, the Awoken World",,0.0,
3464,Siege Dragon,{5}{R}{R},7.0,8666.0
3465,Darkmoss Bridge,,0.0,2872.0
3466,Cogworker's Puzzleknot,{2},2.0,14528.0
3467,Dark Confidant,{1}{B},2.0,762.0
3468,Cat,,0.0,
3469,Living Twister,{R}{R}{G},3.0,4409.0
3470,Hazoret's Favor,{2}{R},3.0,12806.0
3471,Crocanura,{2}{G},3.0,9341.0
3472,Ancient Ooze,{5}{G}{G},7.0,9966.0
3473,Hieromancer's Cage,{3}{W},4.0,15381.0
3474,Gnoll Hunting Party,{5}{R},6.0,
3475,Guardian of the Guildpact,{3}{W},4.0,18408.0
3476,Cyclone Summoner,{5}{U}{U},7.0,4502.0
3477,Mold Adder,{G},1.0,10566.0
3478,Necron Monolith,{7},7.0,12144.0
3479,Personal Sanctuary,{2}{W},3.0,14162.0
3480,Reality Strobe,{4}{U}{U},6.0,8865.0
3481,Screeching Bat // Stalking Vampire,,3.0,18534.0
3482,Krark's Other Thumb,{2},2.0,
3483,Treasure Nabber,{2}{R},3.0,2313.0
3484,Deathgrip,{B}{B},2.0,12615.0
3485,Goblin Grenade,{R},1.0,5857.0
3486,Vivid Marsh,,0.0,2082.0
3487,Boreal Shelf,,0.0,9808.0
3488,Slagwurm Armor,{1},1.0,4897.0
3489,Coral Net,{U},1.0,22344.0
3490,Haunted Guardian,{2},2.0,20935.0
3491,Beguiler of Wills,{3}{U}{U},5.0,7230.0
3492,Krovikan Fetish,{2}{B},3.0,20253.0
3493,Shrieking Grotesque,{2}{W},3.0,22929.0
