,name,color_identity,type_line
7159,Enter the Dungeon,['B'],Sorcery
7160,Dwarven Patrol,['R'],Creature — Dwarf
7161,Reign of Chaos,['R'],Sorcery
7162,Clickslither,['R'],Creature — Insect
7163,Herald of the Host,['W'],Creature — Angel
7164,Infernal Contract,['B'],Sorcery
7165,Conviction,['W'],Enchantment — Aura
7166,Suncleanser,['W'],Creature — Human Cleric
7167,Troubled Healer,['W'],Creature — Human Cleric
7168,"Delina, Wild Mage // Delina, Wild Mage",[],Card // Card
7169,Fact or Fiction,['U'],Instant
7170,Haunted Angel,['W'],Creature — Angel
7171,"Vohar, Vodalian Desecrator","['B', 'U']",Legendary Creature — Phyrexian Merfolk Wizard
7172,Ardent Electromancer,['R'],Creature — Human Wizard
7173,Velomachus Lorehold,"['R', 'W']",Legendary Creature — Elder Dragon
7174,Banshee,['B'],Creature — Spirit
7175,Weathered Runestone,[],Artifact
7176,Infinity Elemental,['R'],Creature — Elemental
7177,Leonin Sanctifier,['W'],Creature — Cat Cleric
7178,Codespell Cleric,['W'],Creature — Human Cleric
7179,Littjara Glade-Warden,['G'],Creature — Shapeshifter
7180,"Yomiji, Who Bars the Way",['W'],Legendary Creature — Spirit
7181,Rustwing Falcon,['W'],Creature — Bird
7182,Resuscitate,['G'],Instant
7183,Forerunner of the Legion,['W'],Creature — Vampire Knight
7184,Ostracize,['B'],Sorcery
7185,Blood Crypt,"['B', 'R']",Land — Swamp Mountain
7186,Iron Golem,[],Artifact Creature — Golem
7187,Voldaren Pariah // Abolisher of Bloodlines,['B'],Creature — Vampire Horror // Creature — Eldrazi Vampire
7188,Tainted Field,"['B', 'W']",Land
7189,Oona's Gatewarden,"['B', 'U']",Creature — Faerie Soldier
7190,Glimmervoid Basin,[],Plane — Mirrodin
7191,Rakdos Riteknife,"['B', 'R']",Artifact — Equipment
7192,Price of Betrayal,['B'],Sorcery
7193,Giant Caterpillar,['G'],Creature — Insect
7194,Gift of Paradise,['G'],Enchantment — Aura
7195,Mindstab Thrull,['B'],Creature — Thrull
7196,Roaring Earth,['G'],Enchantment
7197,Aerie Bowmasters,['G'],Creature — Dog Archer
7198,Moment of Silence,['W'],Instant
7199,Providence,['W'],Sorcery
7200,Goblin,['R'],Token Creature — Goblin
7201,"Danitha, Benalia's Hope",['W'],Legendary Creature — Human Knight
7202,Admiral Beckett Brass,"['B', 'R', 'U']",Legendary Creature — Human Pirate
7203,Fiend Artisan,"['B', 'G']",Creature — Nightmare
7204,Kayla's Reconstruction,['W'],Sorcery
7205,Benthic Giant,['U'],Creature — Giant
7206,Mystic Veil,['U'],Enchantment — Aura
7207,Pick-a-Beeble,[],Artifact — Attraction
7208,Betrayal of Flesh,['B'],Instant
7209,Spinal Centipede,['B'],Creature — Insect
7210,Psychic Miasma,['B'],Sorcery
7211,Omenspeaker,['U'],Creature — Human Wizard
7212,Myr Superion,[],Artifact Creature — Myr
7213,Elven Bow,['G'],Artifact — Equipment
7214,Collective Defiance,['R'],Sorcery
7215,Thunderwave,['R'],Sorcery
7216,Grim Poppet,[],Artifact Creature — Scarecrow
7217,Snapsail Glider,[],Artifact Creature — Construct
7218,Artillery Enthusiast,['R'],Creature — Goblin Artificer
7219,Krovikan Elementalist,"['B', 'R', 'U']",Creature — Human Wizard
7220,Dakkon Blackblade Avatar,[],Vanguard
7221,"Urgoros, the Empty One",['B'],Legendary Creature — Specter
7222,"Hakim, Loreweaver",['U'],Legendary Creature — Human Wizard
7223,Gallia of the Endless Dance,"['G', 'R']",Legendary Creature — Satyr
7224,Derelor,['B'],Creature — Thrull
7225,Contagion Clasp,[],Artifact
7226,Everdream // Everdream,[],Card // Card
7227,Aggressive Urge,['G'],Instant
7228,Deep-Fried Plague Myr,[],Stickers
7229,Whirling Dervish,['G'],Creature — Human Monk
7230,Jötun Grunt,['W'],Creature — Giant Soldier
7231,Hobgoblin Bandit Lord,['R'],Creature — Goblin Rogue
7232,Otherworldly Outburst,['R'],Instant
7233,Haughty Djinn,['U'],Creature — Djinn
7234,Ojutai Exemplars,['W'],Creature — Human Monk
7235,Sheltering Prayers,['W'],Enchantment
7236,Draconic Lore,['U'],Instant
7237,Purging Scythe,[],Artifact
7238,Unsanctioned Ancient Juggler,[],Stickers
7239,Guardian Zendikon,['W'],Enchantment — Aura
7240,Squirrel Sanctuary // Squirrel Sanctuary,[],Card // Card
7241,Ulvenwald Mystics // Ulvenwald Primordials,['G'],Creature — Human Shaman Werewolf // Creature — Werewolf
7242,Eidolon of Countless Battles,['W'],Enchantment Creature — Spirit
7243,Priest of the Blood Rite,['B'],Creature — Human Cleric
7244,Foresee,['U'],Sorcery
7245,Swiftblade Vindicator,"['R', 'W']",Creature — Human Soldier
7246,Swarm Saboteur,['B'],Creature — Human Ninja
7247,Emberstrike Duo,"['B', 'R']",Creature — Elemental Warrior Shaman
7248,Panic Spellbomb,['R'],Artifact
7249,Senate Courier,"['U', 'W']",Creature — Bird
7250,Rootpath Purifier,['G'],Creature — Elf Druid
7251,Zodiac Dog,['R'],Creature — Dog
7252,Phyrexian Splicer,[],Artifact
7253,Primal Huntbeast,['G'],Creature — Beast
7254,Cemetery Gate,['B'],Creature — Wall
7255,Canker Abomination,"['B', 'G']",Creature — Treefolk Horror
7256,Rohgahh of Kher Keep,"['B', 'R']",Legendary Creature — Kobold
7257,Bag of Devouring,['B'],Artifact
7258,Strangling Spores,['B'],Instant
7259,Riptide Laboratory,['U'],Land
7260,Moonlight Bargain,['B'],Instant
7261,Simic Signet,"['G', 'U']",Artifact
7262,Might of Alara,['G'],Instant
7263,Lightning Bolt,['R'],Instant
7264,Dragonlord Silumgar,"['B', 'U']",Legendary Creature — Elder Dragon
7265,Crippling Chill,['U'],Instant
7266,Armored Cancrix,['U'],Creature — Crab
7267,Aura Finesse,['U'],Instant
7268,Feroz's Ban,[],Artifact
7269,Reprobation,['W'],Enchantment — Aura
7270,Wall,['W'],Token Creature — Wall
7271,"Aeve, Progenitor Ooze",['G'],Legendary Creature — Ooze
7272,Supreme Inquisitor,['U'],Creature — Human Wizard
7273,Fury Sliver,['R'],Creature — Sliver
7274,Goblin,['R'],Token Creature — Goblin
7275,Bear Umbra,['G'],Enchantment — Aura
7276,Mirrored Lotus,[],Artifact
7277,Tome Scour,['U'],Sorcery
7278,Dreadwing,"['B', 'R', 'U']",Creature — Zombie
7279,Chasm Guide,['R'],Creature — Goblin Scout Ally
7280,"Tovolar, the Midnight Scourge // Tovolar, the Midnight Scourge",[],Card // Card
7281,Lavalanche,"['B', 'G', 'R']",Sorcery
7282,Trolls of Tel-Jilad,['G'],Creature — Troll Shaman
7283,Spire Monitor,['U'],Creature — Phyrexian Drake
7284,Restoration Gearsmith,"['B', 'W']",Creature — Human Artificer
7285,Biorhythm,['G'],Sorcery
7286,Uktabi Faerie,['G'],Creature — Faerie
7287,Vampiric Sliver,['B'],Creature — Sliver
7288,Infected Vermin,['B'],Creature — Rat
7289,Magus of the Arena,['R'],Creature — Human Wizard
7290,Enigma Eidolon,['U'],Creature — Spirit
7291,Absorb Identity,['U'],Instant
7292,Forced Fruition,['U'],Enchantment
7293,War-Name Aspirant,['R'],Creature — Human Warrior
7294,Warden of Geometries,[],Creature — Eldrazi Drone
7295,Ion Storm,['R'],Enchantment
7296,Mist Dragon,['U'],Creature — Dragon
7297,Visions,['W'],Sorcery
7298,Surveilling Sprite,['U'],Creature — Faerie Rogue
7299,Ranger's Hawk,['W'],Creature — Bird
7300,Union of the Third Path,['W'],Instant
7301,Canopy Baloth,['G'],Creature — Beast
7302,Promising Duskmage,['B'],Creature — Human Warlock
7303,Wanderer's Intervention,['W'],Instant
7304,Giant Shark,['U'],Creature — Shark
7305,Human,['R'],Token Creature — Human
7306,Flourishing Fox,['W'],Creature — Fox
7307,Kor Dirge,['B'],Instant
7308,Primal Surge,['G'],Sorcery
7309,Drossforge Bridge,"['B', 'R']",Artifact Land
7310,Krovikan Scoundrel,['B'],Creature — Human Rogue
7311,"Risona, Asari Commander","['R', 'W']",Legendary Creature — Human Samurai
7312,Augury Owl,['U'],Creature — Bird
7313,Dark Maze,['U'],Creature — Wall
7314,Ready // Willing,"['B', 'G', 'W']",Instant // Instant
7315,Ancient Gold Dragon,['W'],Creature — Elder Dragon
7316,Evolutionary Leap,['G'],Enchantment
7317,Razortip Whip,[],Artifact
7318,Flying Crane Technique,"['R', 'U', 'W']",Instant
7319,Sea Drake,['U'],Creature — Drake
7320,Cathartic Adept,['U'],Creature — Human Wizard
7321,Disarm,['U'],Instant
7322,Dazzling Reflection,['W'],Instant
7323,"Karn, Living Legacy // Karn, Living Legacy",[],Card // Card
7324,Aluren,['G'],Enchantment
7325,Simian Spirit Guide,['R'],Creature — Ape Spirit
7326,Boon of Boseiju,['G'],Instant
7327,Uncle Istvan,['B'],Creature — Human
7328,"Horobi, Death's Wail",['B'],Legendary Creature — Spirit
7329,Maw of the Mire,['B'],Sorcery
7330,Curse of Leeches // Leeching Lurker,['B'],Enchantment — Aura Curse // Creature — Leech Horror
7331,The Eldest Reborn,['B'],Enchantment — Saga
7332,Duty-Bound Dead,['B'],Creature — Skeleton
7333,Halimar Wavewatch,['U'],Creature — Merfolk Soldier
7334,Umbral Mantle,[],Artifact — Equipment
7335,Liliana's Shade,['B'],Creature — Shade
7336,Rotted Hulk,['B'],Creature — Elemental
7337,Mass Hysteria,['R'],Enchantment
7338,Angelic Wall,['W'],Creature — Wall
7339,Wistful Selkie,"['G', 'U']",Creature — Merfolk Wizard
7340,Prayer of Binding,['W'],Enchantment
7341,Selfless Glyphweaver // Deadly Vanity,"['B', 'W']",Creature — Human Cleric // Sorcery
7342,Squirrel Mob,['G'],Creature — Squirrel
7343,Meandering Towershell,['G'],Creature — Turtle
7344,Topsy Turvy,['U'],Enchantment
7345,Sacred Foundry,"['R', 'W']",Land — Mountain Plains
7346,Walker of Secret Ways,['U'],Creature — Human Ninja
7347,Psychic Vortex,['U'],Enchantment
7348,Ascend from Avernus,['W'],Sorcery
7349,Do-Over,['U'],Instant
7350,Zerapa Minotaur,['R'],Creature — Minotaur
7351,Barbed Field,['R'],Enchantment — Aura
7352,Cleansing Screech,['R'],Sorcery
7353,Burning Cloak,['R'],Sorcery
7354,Arrogant Outlaw // Arrogant Outlaw,[],Card // Card
7355,Bonesplitter,[],Artifact — Equipment
7356,Kozilek's Predator,['G'],Creature — Eldrazi Drone
7357,Oasis,[],Land
7358,Varchild's Crusader,['R'],Creature — Human Knight
7359,Flying Carpet,[],Artifact
7360,Shadow of Mortality,['B'],Creature — Avatar
7361,Scrabbling Claws,[],Artifact
7362,Keeper of the Mind,['U'],Creature — Human Wizard
7363,Wolf of Devil's Breach,['R'],Creature — Elemental Wolf
7364,Blossoming Sands,"['G', 'W']",Land
7365,Evasive Action,['U'],Instant
7366,Welkin Hawk,['W'],Creature — Bird
7367,Strength-Testing Hammer,[],Artifact — Equipment
7368,Ring of Evos Isle,[],Artifact — Equipment
7369,Hero of Bladehold,['W'],Creature — Human Knight
7370,"Oros, the Avenger","['B', 'R', 'W']",Legendary Creature — Dragon
7371,Ambush Party,['R'],Creature — Human Rogue
7372,Notorious Assassin,['B'],Creature — Human Spellshaper Assassin
7373,"Nahiri, Heir of the Ancients // Nahiri, Heir of the Ancients",[],Card // Card
7374,Sheltering Ancient,['G'],Creature — Treefolk
7375,Wirewood Savage,['G'],Creature — Elf
7376,Consuming Aberration // Consuming Aberration,[],Card // Card
7377,Scornful Egotist,['U'],Creature — Human Wizard
7378,Down for Repairs,['B'],Sorcery
7379,Ashen Rider,"['B', 'W']",Creature — Archon
7380,Erithizon,['G'],Creature — Beast
7381,Drill-Skimmer,[],Artifact Creature — Thopter
7382,Braids's Frightful Return,['B'],Enchantment — Saga
7383,Arbor Elf,['G'],Creature — Elf Druid
7384,Five Kids in a Trenchcoat,['W'],Creature — Human Citizen
7385,Crypt Cobra,['B'],Creature — Snake
7386,Trip Noose,[],Artifact
7387,Nessian Wanderer,['G'],Creature — Satyr Scout
7388,Voyager Staff,[],Artifact
7389,Azra Oddsmaker,"['B', 'R']",Creature — Azra Warrior
7390,Bronze Bombshell,[],Artifact Creature — Construct
7391,Dromosaur,['R'],Creature — Dinosaur
7392,Jungle Wurm,['G'],Creature — Wurm
7393,Lorehold Campus,"['R', 'W']",Land
7394,Necron Warrior,['B'],Token Artifact Creature — Necron Warrior
7395,Deadly Dispute,['B'],Instant
7396,Goblin Medics,['R'],Creature — Goblin Shaman
7397,Forced March,['B'],Sorcery
7398,Cold-Water Snapper,['U'],Creature — Turtle
7399,"Dennick, Pious Apprentice // Dennick, Pious Apparition","['U', 'W']",Legendary Creature — Human Soldier // Legendary Creature — Spirit Soldier
7400,Remodel,['G'],Instant
7401,Necron Deathmark,['B'],Artifact Creature — Necron
7402,Scrib Nibblers,['B'],Creature — Rat
7403,Aethersnatch,['U'],Instant
7404,Diffusion Sliver,['U'],Creature — Sliver
7405,Port Town,"['U', 'W']",Land
7406,Tarmogoyf,['G'],Creature — Lhurgoyf
7407,Aven Farseer,['W'],Creature — Bird Soldier
7408,Dread Fugue // Dread Fugue,[],Card // Card
7409,Ignacio of Myra's Marvels,['R'],Legendary Creature — Lizard Performer
7410,Ring of Renewal,[],Artifact
7411,Darkmoss Bridge // Darkmoss Bridge,[],Card // Card
7412,Dagger of the Worthy,[],Artifact — Equipment
7413,Balm of Restoration,[],Artifact
7414,Stirring Address,['W'],Instant
7415,Escape to the Wilds,"['G', 'R']",Sorcery
7416,Overwhelming Denial,['U'],Instant
7417,Azor's Elocutors,"['U', 'W']",Creature — Human Advisor
7418,Merfolk Wayfinder,['U'],Creature — Merfolk Scout
7419,Jungle Lion,['G'],Creature — Cat
7420,Bog Imp,['B'],Creature — Imp
7421,Razorfin Hunter,"['R', 'U']",Creature — Merfolk Goblin
7422,Wring Flesh,['B'],Instant
7423,Zektar Shrine Expedition,['R'],Enchantment
7424,Honden of Seeing Winds,['U'],Legendary Enchantment — Shrine
7425,Reckless Charge,['R'],Sorcery
7426,Skyward Eye Prophets,"['G', 'U', 'W']",Creature — Human Wizard
7427,Glittering Wish,"['G', 'W']",Sorcery
7428,Pearlspear Courier,['W'],Creature — Human Soldier
7429,Ceta Sanctuary,['U'],Enchantment
7430,Chilling Grasp,['U'],Instant
7431,Vodalian Tide Mage,"['G', 'U']",Creature — Merfolk Wizard
7432,Nezumi Shortfang // Stabwhisker the Odious,['B'],Creature — Rat Rogue // Legendary Creature — Rat Shaman
7433,Gelid Shackles,['W'],Snow Enchantment — Aura
7434,Caustic Caterpillar,['G'],Creature — Insect
7435,"Tovolar, Dire Overlord // Tovolar, the Midnight Scourge","['G', 'R']",Legendary Creature — Human Werewolf // Legendary Creature — Werewolf
7436,Price of Fame,['B'],Instant
7437,Oreskos Sun Guide,['W'],Creature — Cat Monk
7438,Sidisi's Faithful,['U'],Creature — Naga Wizard
7439,War Report,['W'],Instant
7440,Gravelighter,['B'],Creature — Spirit
7441,Robo-,[],Artifact Creature — Construct
7442,Geistlight Snare,['U'],Instant
7443,Kolaghan's Command,"['B', 'R']",Instant
7444,Spined Thopter,['U'],Artifact Creature — Phyrexian Thopter
7445,Blood on the Snow,['B'],Snow Sorcery
7446,Daughter of Autumn,"['G', 'W']",Legendary Creature — Avatar
7447,Agent of the Fates,['B'],Creature — Human Assassin
7448,Plane-Merge Elf,['G'],Creature — Elf Warrior
7449,Excavation Elephant,['W'],Creature — Elephant
7450,Raiders' Spoils,['B'],Enchantment
7451,Spire Garden,"['G', 'R']",Land
7452,Rise Again,['B'],Sorcery
7453,Farbog Boneflinger,['B'],Creature — Zombie
7454,Clear the Land,['G'],Sorcery
7455,Pain's Reward,['B'],Sorcery
7456,Respite,['G'],Instant
7457,Cave of the Frost Dragon // Cave of the Frost Dragon,[],Card // Card
7458,War Screecher,['W'],Creature — Bird
7459,Nomad Outpost,"['B', 'R', 'W']",Land
7460,Hengegate Pathway // Mistgate Pathway,"['U', 'W']",Land // Land
7461,Ray of Revelation,"['G', 'W']",Instant
7462,Kitesail Skirmisher,['U'],Creature — Human Pirate
7463,Consecrate Land,['W'],Enchantment — Aura
7464,Bottle Golems,[],Artifact Creature — Golem
7465,Shifting Sky,['U'],Enchantment
7466,Seedborn Muse,['G'],Creature — Spirit
7467,Howltooth Hollow,['B'],Land
7468,Slice and Dice,['R'],Sorcery
7469,Captain's Call,['W'],Sorcery
7470,Vulshok War Boar,['R'],Creature — Boar Beast
7471,Behold the Unspeakable // Vision of the Unspeakable,['U'],Enchantment — Saga // Enchantment Creature — Spirit
7472,Skybridge Towers,"['U', 'W']",Land
7473,Lethal Sting,['B'],Sorcery
7474,Urza's Filter,[],Artifact
7475,Black Market Tycoon,"['G', 'R']",Creature — Cat Rogue
7476,Unified Strike,['W'],Instant
7477,Military Intelligence,['U'],Enchantment
7478,Brain Freeze,['U'],Instant
7479,Council of the Absolute,"['U', 'W']",Creature — Human Advisor
7480,"Look at Me, I'm R&D",['W'],Enchantment
7481,"Brallin, Skyshark Rider",['R'],Legendary Creature — Human Shaman
7482,Abzan Banner,"['B', 'G', 'W']",Artifact
7483,Downsize,['U'],Instant
7484,Sunken Field,['U'],Enchantment — Aura
7485,Arenson's Aura,"['U', 'W']",Enchantment
7486,Deathknell Berserker,['B'],Creature — Elf Berserker
7487,Essence Scatter,['U'],Instant
7488,Light Up the Night,['R'],Sorcery
7489,Armored Guardian,"['U', 'W']",Creature — Cat Soldier
7490,Battle Hurda,['W'],Creature — Giant
7491,Courser of Kruphix,['G'],Enchantment Creature — Centaur
7492,Choice of Fortunes,['U'],Sorcery
7493,You Find Some Prisoners,['R'],Instant
7494,Adamant Will,['W'],Instant
7495,Gempalm Incinerator,['R'],Creature — Goblin
7496,Zurgo Bellstriker,['R'],Legendary Creature — Orc Warrior
7497,Compost,['G'],Enchantment
7498,Mindswipe,"['R', 'U']",Instant
7499,Centaur Safeguard,"['G', 'W']",Creature — Centaur Warrior
7500,Ageless Guardian,['W'],Creature — Spirit Soldier
7501,"Chandra, Dressed to Kill",['R'],Legendary Planeswalker — Chandra
7502,Ring of Immortals,[],Artifact
7503,Pillar of Flame,['R'],Sorcery
7504,"Nissa, Worldwaker",['G'],Legendary Planeswalker — Nissa
7505,Crusade,['W'],Enchantment
7506,Royal Assassin Avatar,[],Vanguard
7507,Ravenous Slime,['G'],Creature — Ooze
7508,A-Dwarfhold Champion,['W'],Creature — Dwarf Warrior
7509,Minion of the Mighty // Kobold,[],Card // Card
7510,Force Void,['U'],Instant
7511,Rune of Protection: Artifacts,['W'],Enchantment
7512,Dodgy Jalopy,['G'],Artifact — Vehicle
7513,"Mirko Vosk, Mind Drinker","['B', 'U']",Legendary Creature — Vampire
7514,A-Jade Orb of Dragonkind,['G'],Artifact
7515,Riveteers Requisitioner,['R'],Creature — Viashino Rogue
7516,Myr Matrix,[],Artifact
7517,Balloon,['R'],Token Creature — Balloon
7518,Wurm,['G'],Token Creature — Wurm
7519,Thresher Lizard,['R'],Creature — Lizard
7520,Pitiless Pontiff,"['B', 'W']",Creature — Vampire Cleric
7521,Misery Charm,['B'],Instant
7522,Thallid,['G'],Creature — Fungus
7523,Conversion Chamber,[],Artifact
7524,Aberrant,['G'],Creature — Tyranid Mutant
7525,Cleansing,['W'],Sorcery
7526,Rolling Earthquake,['R'],Sorcery
7527,Dragonlord's Prerogative,['U'],Instant
7528,Insatiable Hemophage,['B'],Creature — Nightmare
7529,Martyr of Spores,['G'],Creature — Human Shaman
7530,Blazing Sunsteel,['R'],Artifact — Equipment
7531,Ravenous Giant,['R'],Creature — Giant
7532,"Iname, Death Aspect",['B'],Legendary Creature — Spirit
7533,Falkenrath Pit Fighter,['R'],Creature — Vampire Warrior
7534,Golgari Guildmage,"['B', 'G']",Creature — Elf Shaman
7535,Ancient Excavation,"['B', 'U']",Instant
7536,Shadow Sliver,['U'],Creature — Sliver
7537,Treefolk,['G'],Token Creature — Treefolk
7538,Arrows of Justice,"['R', 'W']",Instant
7539,Nature's Chant,"['G', 'W']",Instant
7540,Belbe's Portal,[],Artifact
7541,Sultai Charm,"['B', 'G', 'U']",Instant
7542,Tolaria West,['U'],Land
7543,Dominarioes // Dominarioes (cont'd),[],Card
7544,Wary Okapi,['G'],Creature — Antelope
7545,Coronation of Chaos,['R'],Sorcery
7546,Opportunistic Dragon,['R'],Creature — Dragon
7547,Vivisection,['U'],Sorcery
7548,Ashen Ghoul,['B'],Creature — Zombie
7549,Satyr's Cunning,['R'],Sorcery
7550,Drogskol Shieldmate,['W'],Creature — Spirit Soldier
7551,Pitiless Gorgon,"['B', 'G']",Creature — Gorgon
7552,Soul Foundry,[],Artifact
7553,Mayhem Devil,"['B', 'R']",Creature — Devil
7554,Aetherworks Marvel,[],Legendary Artifact
7555,Crabapple Cohort,['G'],Creature — Treefolk Warrior
7556,Jewel Thief,['G'],Creature — Cat Rogue
7557,Groom's Finery // Groom's Finery,[],Card // Card
7558,Afflict,['B'],Instant
7559,Psychic Impetus,['U'],Enchantment — Aura
7560,Stormcarved Coast,"['R', 'U']",Land
7561,Bad Deal,['B'],Sorcery
7562,Shambling Vent,"['B', 'W']",Land
7563,Sigardian Paladin,"['G', 'W']",Creature — Human Knight
7564,Relentless Raptor,"['R', 'W']",Creature — Dinosaur
7565,Anticognition,['U'],Instant
7566,Exquisite Archangel,['W'],Creature — Angel
7567,Urza's Tome,[],Artifact
7568,Out of the Tombs,['B'],Enchantment
7569,Sawtooth Ogre,['R'],Creature — Ogre
7570,Emeria Shepherd,['W'],Creature — Angel
7571,Elderfang Venom,"['B', 'G']",Enchantment
7572,Chandra's Outrage,['R'],Instant
7573,Wax // Wane,"['G', 'W']",Instant // Instant
7574,Dirge Bat,['B'],Creature — Bat
7575,Obliterate,['R'],Sorcery
7576,Chronic Flooding,['U'],Enchantment — Aura
7577,Rouse,['B'],Instant
7578,Nacatl Savage,['G'],Creature — Cat Warrior
7579,Insult // Injury,['R'],Sorcery // Sorcery
7580,Makindi Sliderunner,['R'],Creature — Beast
7581,Tithebearer Giant,['B'],Creature — Giant Warrior
7582,Goblin Test Pilot,"['R', 'U']",Creature — Goblin Pilot Wizard
7583,Narset Transcendent Emblem,[],Emblem — Narset
7584,Endless Whispers,['B'],Enchantment
7585,Sliver Legion,"['B', 'G', 'R', 'U', 'W']",Legendary Creature — Sliver
7586,Salivating Gremlins,['R'],Creature — Gremlin
7587,Penumbra Spider,['G'],Creature — Spider
7588,Squire's Devotion,['W'],Enchantment — Aura
7589,Force Away,['U'],Instant
7590,Cloudchaser Kestrel,['W'],Creature — Bird
7591,Writ of Return,['B'],Sorcery
7592,"Akki Lavarunner // Tok-Tok, Volcano Born",['R'],Creature — Goblin Warrior // Legendary Creature — Goblin Shaman
7593,Breath of Dreams,['U'],Enchantment
7594,Frankie Peanuts,['W'],Legendary Creature — Elephant Rogue
7595,"Dakkon, Shadow Slayer // Dakkon, Shadow Slayer",[],Card // Card
7596,Volley of Boulders,['R'],Sorcery
7597,Nobilis of War,"['R', 'W']",Creature — Spirit Avatar
7598,Wilderness Elemental,"['G', 'R']",Creature — Elemental
7599,Territorial Maro,['G'],Creature — Elemental
7600,Ixalan Checklist,[],Card
7601,War Behemoth,['W'],Creature — Beast
7602,"Tishana, Voice of Thunder","['G', 'U']",Legendary Creature — Merfolk Shaman
7603,Double Dip,['W'],Instant
7604,"Endrek Sahr, Master Breeder",['B'],Legendary Creature — Human Wizard
7605,Enduring Renewal,['W'],Enchantment
7606,Dispersal Technician,['U'],Creature — Vedalken Artificer
7607,Spellseeker,['U'],Creature — Human Wizard
7608,Forging the Tyrite Sword,"['R', 'W']",Enchantment — Saga
7609,Demonic Lore,['B'],Enchantment
7610,Raven Familiar,['U'],Creature — Bird
7611,Thud-for-Duds,[],Artifact — Contraption
7612,Immersturm Skullcairn // Immersturm Skullcairn,[],Card // Card
7613,Seeker of Slaanesh,['R'],Creature — Demon
7614,Quick-Draw Dagger,[],Artifact — Equipment
7615,Flanking Troops,['W'],Creature — Human Soldier
7616,Cinder Pyromancer,['R'],Creature — Elemental Shaman
7617,Blue Scarab,['W'],Enchantment — Aura
7618,Skemfar Avenger,['B'],Creature — Elf Berserker
7619,Aethersquall Ancient,['U'],Creature — Leviathan
7620,Stone Idol Trap,['R'],Instant — Trap
7621,Grasping Dunes,[],Land — Desert
7622,Flameborn Hellion,['R'],Creature — Hellion
7623,Revel in Silence // Revel in Silence,[],Card // Card
7624,Zodiac Monkey,['G'],Creature — Monkey
7625,Dragon's Approach,['R'],Sorcery
7626,Mind Slash,['B'],Enchantment
7627,Prismari Pledgemage,"['R', 'U']",Creature — Orc Wizard
7628,Mer Man,['U'],Host Creature — Human Fish
7629,Mana Cylix,[],Artifact
7630,Experimental Aviator,['U'],Creature — Human Artificer
7631,Repel the Darkness,['W'],Instant
7632,Troll Warrior,['G'],Token Creature — Troll Warrior
7633,Warren Instigator,['R'],Creature — Goblin Berserker
7634,Patron of the Arts,['R'],Creature — Dragon Noble
7635,Tormented Hero,['B'],Creature — Human Warrior
7636,"Karazikar, the Eye Tyrant","['B', 'R']",Legendary Creature — Beholder
7637,Sepulchral Primordial,['B'],Creature — Avatar
7638,Pit Scorpion,['B'],Creature — Scorpion
7639,"Sedris, the Traitor King","['B', 'R', 'U']",Legendary Creature — Zombie Warrior
7640,"Moira, Urborg Haunt",['B'],Legendary Creature — Spirit Wizard
7641,Triplicate Spirits,['W'],Sorcery
7642,Shield Broker,['U'],Creature — Cephalid Advisor
7643,Ancestral Hot Dog Minotaur,[],Stickers
7644,Thallid Shell-Dweller,['G'],Creature — Fungus
7645,Giant Mantis,['G'],Creature — Insect
7646,"Squee, the Immortal",['R'],Legendary Creature — Goblin
7647,Manabond,['G'],Enchantment
7648,Mana Short,['U'],Instant
7649,Star of Extinction,['R'],Sorcery
7650,Bribe Taker,['G'],Creature — Rhino Warrior
7651,Contagion Engine,[],Artifact
7652,Sarkhan's Whelp,['R'],Creature — Dragon
7653,Reviving Melody,['G'],Sorcery
7654,Aetherspouts,['U'],Instant
7655,Mystical Dispute,['U'],Instant
7656,Deathcoil Wurm,['G'],Creature — Wurm
7657,Stangg Twin,"['G', 'R']",Token Legendary Creature — Human Warrior
7658,Living Wall,[],Artifact Creature — Wall
7659,Moggcatcher,['R'],Creature — Human Mercenary
7660,Goblin Morale Sergeant,['R'],Creature — Goblin Soldier
7661,Hag of Dark Duress,['B'],Creature — Hag Warlock
7662,"Kitt Kanto, Mayhem Diva // Kitt Kanto, Mayhem Diva",[],Card // Card
7663,Wrench Mind,['B'],Sorcery
7664,Sleep with the Fishes,['U'],Enchantment — Aura
7665,Rhet-Crop Spearmaster,['W'],Creature — Human Warrior
7666,Avatar of Fury,['R'],Creature — Avatar
7667,Biting Rain,['B'],Sorcery
7668,Hordewing Skaab,['U'],Creature — Zombie Horror
7669,Feast or Famine,['B'],Instant
7670,Fetid Horror,['B'],Creature — Shade Horror
7671,Mindleecher,['B'],Creature — Nightmare
7672,"Chandra, Gremlin Wrangler",['R'],Legendary Planeswalker — Chandra
7673,Battletide Alchemist,['W'],Creature — Kithkin Cleric
7674,Darkwater Catacombs,"['B', 'U']",Land
7675,Ire of Kaminari,['R'],Instant — Arcane
7676,Mindbreak Trap,['U'],Instant — Trap
7677,Thundering Tanadon,['G'],Artifact Creature — Phyrexian Beast
7678,Magistrate's Scepter,[],Artifact
7679,Quick-Stick Lick Trick,[],Artifact — Contraption
7680,Gempalm Strider,['G'],Creature — Elf
7681,Firehoof Cavalry,"['R', 'W']",Creature — Human Berserker
7682,Sibsig Icebreakers,['B'],Creature — Zombie
7683,"Sanwell, Avenger Ace",['W'],Legendary Creature — Human Pilot
7684,Goblinslide,['R'],Enchantment
